"","DATE","ECIWAG_20230131","ECIWAG_20230428","quits_prior"
"1",2001-01-01,"87.6",87.6,2.8
"2",2001-04-01,"88.4",88.4,2.7
"3",2001-07-01,"89.2",89.2,2.5
"4",2001-10-01,"90.0",90,2.4
"5",2002-01-01,"90.7",90.7,2.5
"6",2002-04-01,"91.6",91.6,2.3
"7",2002-07-01,"92.0",92,2.2
"8",2002-10-01,"92.3",92.3,2.1
"9",2003-01-01,"93.3",93.3,2.1
"10",2003-04-01,"93.8",93.8,2
"11",2003-07-01,"94.7",94.7,2
"12",2003-10-01,"95.2",95.2,2.1
"13",2004-01-01,"95.7",95.7,2
"14",2004-04-01,"96.4",96.4,2.2
"15",2004-07-01,"97.2",97.2,2.2
"16",2004-10-01,"97.7",97.7,2.2
"17",2005-01-01,"98.3",98.3,2.3
"18",2005-04-01,"98.8",98.8,2.3
"19",2005-07-01,"99.4",99.4,2.3
"20",2005-10-01,"100.1",100.1,2.4
"21",2006-01-01,"100.8",100.8,2.4
"22",2006-04-01,"101.6",101.6,2.3
"23",2006-07-01,"102.5",102.5,2.5
"24",2006-10-01,"103.3",103.3,2.5
"25",2007-01-01,"104.3",104.3,2.4
"26",2007-04-01,"105.1",105.1,2.4
"27",2007-07-01,"105.9",105.9,2.4
"28",2007-10-01,"106.7",106.7,2.4
"29",2008-01-01,"107.6",107.6,2.3
"30",2008-04-01,"108.4",108.4,2.3
"31",2008-07-01,"109.0",109,2.1
"32",2008-10-01,"109.5",109.5,1.9
"33",2009-01-01,"109.8",109.8,1.7
"34",2009-04-01,"110.1",110.1,1.5
"35",2009-07-01,"110.5",110.5,1.5
"36",2009-10-01,"111.0",111,1.5
"37",2010-01-01,"111.4",111.4,1.5
"38",2010-04-01,"111.9",111.9,1.7
"39",2010-07-01,"112.3",112.3,1.6
"40",2010-10-01,"112.9",112.9,1.6
"41",2011-01-01,"113.2",113.2,1.6
"42",2011-04-01,"113.7",113.7,1.6
"43",2011-07-01,"114.2",114.2,1.7
"44",2011-10-01,"114.7",114.7,1.7
"45",2012-01-01,"115.3",115.3,1.7
"46",2012-04-01,"115.8",115.8,1.8
"47",2012-07-01,"116.3",116.3,1.7
"48",2012-10-01,"116.7",116.7,1.7
"49",2013-01-01,"117.4",117.4,1.9
"50",2013-04-01,"118.0",118,1.9
"51",2013-07-01,"118.4",118.4,1.9
"52",2013-10-01,"119.1",119.1,1.9
"53",2014-01-01,"119.4",119.4,1.9
"54",2014-04-01,"120.2",120.2,2
"55",2014-07-01,"121.1",121.1,2.1
"56",2014-10-01,"121.8",121.8,2.2
"57",2015-01-01,"122.6",122.6,2.2
"58",2015-04-01,"122.8",122.8,2.1
"59",2015-07-01,"123.6",123.6,2.2
"60",2015-10-01,"124.3",124.3,2.2
"61",2016-01-01,"125.1",125.1,2.2
"62",2016-04-01,"126.0",126,2.3
"63",2016-07-01,"126.6",126.6,2.3
"64",2016-10-01,"127.3",127.3,2.4
"65",2017-01-01,"128.2",128.2,2.4
"66",2017-04-01,"129.0",129,2.3
"67",2017-07-01,"129.9",129.9,2.4
"68",2017-10-01,"130.8",130.8,2.4
"69",2018-01-01,"131.9",132,2.3
"70",2018-04-01,"132.8",132.8,2.5
"71",2018-07-01,"134.0",133.9,2.6
"72",2018-10-01,"134.9",134.9,2.6
"73",2019-01-01,"135.8",135.8,2.6
"74",2019-04-01,"136.8",136.7,2.6
"75",2019-07-01,"138.0",137.9,2.7
"76",2019-10-01,"138.9",138.9,2.5
"77",2020-01-01,"140.3",140.3,2.6
"78",2020-04-01,"140.8",140.8,1.7
"79",2020-07-01,"141.6",141.6,2.4
"80",2020-10-01,"142.8",142.8,2.6
"81",2021-01-01,"144.5",144.5,2.6
"82",2021-04-01,"145.8",145.7,3.1
"83",2021-07-01,"148.1",148,3.1
"84",2021-10-01,"149.8",149.9,3.1
"85",2022-01-01,"151.7",151.8,3.2
"86",2022-04-01,"154.1",154,3.3
"87",2022-07-01,"155.9",155.8,2.9
"88",2022-10-01,"157.5",157.6,2.9
"89",2023-01-01,".",159.5,2.8
